datetime,from_stop,to_stop,riders,total_km,order_type,station_from,station_to
2023-02-21,Mutiara Ville Residence-Persiaran Sepang(11853),Putrajaya Central (Cyberjaya)(11798),2,8.34,on-demand,11853,11798
2023-02-23,Serin Residency (Main Entrance)(11839),Shaftsbusry Square Bus Stop(11808),1,3.6,on-demand,11839,11808
2023-02-27,Garden Plaza(11863),Lim Kok Weng University (Barat) Bus Stop(11831),1,2.05,on-demand,11863,11831
2023-02-26,Garden Plaza(11863),Putrajaya Central (Cyberjaya)(11798),2,6.1,on-demand,11863,11798
2023-02-08,D'Pulze Cyberjaya Bus Stop(11806),The Arc Cyberjaya (Bus Stop)(11855),1,2.31,on-demand,11806,11855
2023-02-08,McDonald's @ Edusphere Cyberjaya(12217),Gem In Mall(11800),2,2.03,on-demand,12217,11800
2023-02-10,Mutiara Ville Residence-Persiaran Sepang(11853),Malakat Mall (11810),1,2.9,on-demand,11853,11810
2023-02-26,The Arc Cyberjaya (Bus Stop)(11855),CBD Perdana 1 (Saba Restaurant)(11819),2,2.49,on-demand,11855,11819
2023-02-28,Mutiara Ville Residence-Persiaran Sepang(11853),Bank Islam Cyberjaya (CBD Perdana 2)(11820),3,2.79,on-demand,11853,11820
2023-02-10,Cyberia Crescent 1 Condo (Main Entrance)(11841),Putrajaya Central (Cyberjaya)(11798),1,7.21,on-demand,11841,11798
2023-02-04,"MMU Bus Stop, Persiaran Multimedia(11827)",Shaftsbusry Square Bus Stop(11808),1,3.21,on-demand,11827,11808
2023-02-21,Sports Arena Cyberjaya(11814),Garden Plaza(11863),2,5.01,advanced booking,11814,11863
2023-02-15,Malakat Mall (11810),Putrajaya Central (Cyberjaya)(11798),1,6.55,advanced booking,11810,11798
2023-02-26,Cyberia Smart Homes Guard House Gate A(11857),Putrajaya Central (Cyberjaya)(11798),1,7.46,on-demand,11857,11798
2023-02-10,Malakat Mall (11810),Mutiara Ville Residence-Persiaran Sepang(11853),1,2.67,on-demand,11810,11853
2023-02-21,Gem In Mall(11800),D'Pulze Cyberjaya Bus Stop(11806),1,1.99,on-demand,11800,11806
2023-02-14,The Arc Cyberjaya (Bus Stop)(11855),Tamarind Square Bus Stop(11807),1,0.7,on-demand,11855,11807
2023-02-09,Mutiara Ville Residence-Persiaran Sepang(11853),D'Pulze Cyberjaya Bus Stop(11806),1,2.37,on-demand,11853,11806
2023-02-23,Cyberia Smart Homes Guard House Gate A(11857),D'Pulze Cyberjaya Bus Stop(11806),1,1.48,advanced booking,11857,11806
2023-02-23,University of Cyberjaya (UoC)(11829),D'Pulze Cyberjaya Bus Stop(11806),2,2.72,on-demand,11829,11806
2023-02-23,Cyberia Smart Homes Guard House Gate A(11857),Putrajaya Central (Cyberjaya)(11798),1,7.46,on-demand,11857,11798
2023-02-08,Putrajaya Central (Cyberjaya)(11798),Wisma Shell Bus Stop(12192),1,4.79,on-demand,11798,12192
2023-02-01,Garden Plaza(11863),Wisma Shell Bus Stop(12192),1,3.76,on-demand,11863,12192
2023-02-10,The Arc Cyberjaya (Bus Stop)(11855),Putrajaya Central (Cyberjaya)(11798),1,8.07,on-demand,11855,11798
2023-02-21,Ceria Residence Cyberjaya (Entrance)(11848),"Glomac Bus Stop,Persiaran Teknokrat 3 (11821)",1,3.43,on-demand,11848,11821
2023-02-13,D'Pulze Cyberjaya Bus Stop(11806),Putrajaya Central (Cyberjaya)(11798),1,6.62,advanced booking,11806,11798
2023-02-13,Mutiara Ville Residence-Persiaran Sepang(11853),Malakat Mall (11810),1,2.9,on-demand,11853,11810
2023-02-02,"MMU Bus Stop, Persiaran Multimedia(11827)",The Arc Cyberjaya (Bus Stop)(11855),1,1.04,on-demand,11827,11855
2023-02-23,Kenwingston Square Garden (Main Lobby)(11804),Shaftsbusry Square Bus Stop(11808),1,5.01,on-demand,11804,11808
2023-02-21,Gem In Mall(11800),The Arc Cyberjaya (Bus Stop)(11855),2,0.77,on-demand,11800,11855
