month,origin,destination,origin_label,destination_label,origin_line_code,destination_line_code,origin_line,destination_line,flow_type,ridership,origin_rank,destination_rank,ridership_k
2026-01,KG22: Maluri,KG18: Bukit Bintang,Maluri,Bukit Bintang,KG,KG,MRT Kajang,MRT Kajang,Same line,63705,5,1,63.705
2026-01,KG22: Maluri,KG20: Tun Razak Exchange,Maluri,Tun Razak Exchange,KG,KG,MRT Kajang,MRT Kajang,Same line,41441,5,4,41.441
2026-01,KG22: Maluri,KG21: Cochrane,Maluri,Cochrane,KG,KG,MRT Kajang,MRT Kajang,Same line,19781,5,12,19.781
2026-01,KG22: Maluri,KJ03: Wangsa Maju,Maluri,Wangsa Maju,KG,KJ,MRT Kajang,Kelana Jaya,Inter-line,1511,5,14,1.511
2026-01,KG22: Maluri,KJ09: Ampang Park,Maluri,Ampang Park,KG,KJ,MRT Kajang,Kelana Jaya,Inter-line,114,5,7,0.114
2026-01,KG22: Maluri,KJ10: KLCC,Maluri,KLCC,KG,KJ,MRT Kajang,Kelana Jaya,Inter-line,3150,5,2,3.15
2026-01,KG22: Maluri,KJ14: Pasar Seni,Maluri,Pasar Seni,KG,KJ,MRT Kajang,Kelana Jaya,Inter-line,6739,5,8,6.739
2026-01,KG22: Maluri,KJ15: KL Sentral,Maluri,KL Sentral,KG,KJ,MRT Kajang,Kelana Jaya,Inter-line,1700,5,3,1.7
2026-01,KG22: Maluri,KJ16: Bank Rakyat Bangsar,Maluri,Bank Rakyat Bangsar,KG,KJ,MRT Kajang,Kelana Jaya,Inter-line,3723,5,15,3.723
2026-01,KG22: Maluri,KJ17: Abdullah Hukum,Maluri,Abdullah Hukum,KG,KJ,MRT Kajang,Kelana Jaya,Inter-line,7107,5,6,7.107
2026-01,KG22: Maluri,MR06: Bukit Bintang,Maluri,Bukit Bintang,KG,MR,MRT Kajang,Monorail,Inter-line,57,5,9,0.057
2026-01,KJ03: Wangsa Maju,AG07: Masjid Jamek,Wangsa Maju,Masjid Jamek,KJ,AG,Kelana Jaya,Ampang,Inter-line,3709,14,10,3.709
2026-01,KJ03: Wangsa Maju,KG09: Bandar Utama,Wangsa Maju,Bandar Utama,KJ,KG,Kelana Jaya,MRT Kajang,Inter-line,2657,14,13,2.657
2026-01,KJ03: Wangsa Maju,KG15: Muzium Negara,Wangsa Maju,Muzium Negara,KJ,KG,Kelana Jaya,MRT Kajang,Inter-line,242,14,11,0.242
2026-01,KJ03: Wangsa Maju,KG18: Bukit Bintang,Wangsa Maju,Bukit Bintang,KJ,KG,Kelana Jaya,MRT Kajang,Inter-line,5817,14,1,5.817
2026-01,KJ03: Wangsa Maju,KG20: Tun Razak Exchange,Wangsa Maju,Tun Razak Exchange,KJ,KG,Kelana Jaya,MRT Kajang,Inter-line,1044,14,4,1.044
2026-01,KJ03: Wangsa Maju,KG21: Cochrane,Wangsa Maju,Cochrane,KJ,KG,Kelana Jaya,MRT Kajang,Inter-line,1562,14,12,1.562
2026-01,KJ03: Wangsa Maju,KG22: Maluri,Wangsa Maju,Maluri,KJ,KG,Kelana Jaya,MRT Kajang,Inter-line,1446,14,5,1.446
2026-01,KJ03: Wangsa Maju,KJ09: Ampang Park,Wangsa Maju,Ampang Park,KJ,KJ,Kelana Jaya,Kelana Jaya,Same line,43575,14,7,43.575
2026-01,KJ03: Wangsa Maju,KJ10: KLCC,Wangsa Maju,KLCC,KJ,KJ,Kelana Jaya,Kelana Jaya,Same line,33249,14,2,33.249
2026-01,KJ03: Wangsa Maju,KJ14: Pasar Seni,Wangsa Maju,Pasar Seni,KJ,KJ,Kelana Jaya,Kelana Jaya,Same line,7817,14,8,7.817
2026-01,KJ03: Wangsa Maju,KJ15: KL Sentral,Wangsa Maju,KL Sentral,KJ,KJ,Kelana Jaya,Kelana Jaya,Same line,18283,14,3,18.283
