origin,destination,od_pair,fare_rm,time_min,route,transfer_count,transfer_group,fare_label,time_label
Masjid Jamek (KJL),Bukit Bintang,Masjid Jamek (KJL) → Bukit Bintang,1.4,6.0,KJL[Masjid Jamek (KJL) > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Bukit Bintang],1,1+ transfer,RM 1.40,6 min
Masjid Jamek (KJL),Tun Razak Exchange (TRX),Masjid Jamek (KJL) → Tun Razak Exchange (TRX),1.8,8.0,KJL[Masjid Jamek (KJL) > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Tun Razak Exchange (TRX)],1,1+ transfer,RM 1.80,8 min
Masjid Jamek (KJL),Cochrane,Masjid Jamek (KJL) → Cochrane,2.0,11.0,KJL[Masjid Jamek (KJL) > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Cochrane],1,1+ transfer,RM 2.00,11 min
Masjid Jamek (KJL),Maluri (SBK),Masjid Jamek (KJL) → Maluri (SBK),2.1,12.0,KJL[Masjid Jamek (KJL) > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Maluri (SBK)],1,1+ transfer,RM 2.10,12 min
Masjid Jamek (KJL),Taman Pertama,Masjid Jamek (KJL) → Taman Pertama,2.5,16.0,KJL[Masjid Jamek (KJL) > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Taman Pertama],1,1+ transfer,RM 2.50,16 min
Masjid Jamek (KJL),Taman Midah,Masjid Jamek (KJL) → Taman Midah,2.7,18.0,KJL[Masjid Jamek (KJL) > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Taman Midah],1,1+ transfer,RM 2.70,18 min
Masjid Jamek (KJL),Taman Mutiara,Masjid Jamek (KJL) → Taman Mutiara,3.1,20.0,KJL[Masjid Jamek (KJL) > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Taman Mutiara],1,1+ transfer,RM 3.10,20 min
Masjid Jamek (KJL),Taman Connaught,Masjid Jamek (KJL) → Taman Connaught,3.5,23.0,KJL[Masjid Jamek (KJL) > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Taman Connaught],1,1+ transfer,RM 3.50,23 min
Masjid Jamek (KJL),Taman Suntex,Masjid Jamek (KJL) → Taman Suntex,4.0,25.0,KJL[Masjid Jamek (KJL) > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Taman Suntex],1,1+ transfer,RM 4.00,25 min
Masjid Jamek (KJL),Sri Raya,Masjid Jamek (KJL) → Sri Raya,3.9,28.0,KJL[Masjid Jamek (KJL) > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Sri Raya],1,1+ transfer,RM 3.90,28 min
